N,MAE,Treatment,Pearson,Spearman
10,1.852449840765733,None,0.2337041461029341,0.2369381002620604
20,1.7537458933316745,None,0.25328968893474696,0.26492221183038556
30,1.7161136191624862,None,0.24053193867083308,0.2278482890822453
40,1.727316766518813,None,0.25306463174895255,0.23008165792249471
50,1.732920851615759,None,0.2856168679596798,0.28511186614624034
60,1.7408019340955294,None,0.2592789376514155,0.22134918575711954
70,1.6950046424682323,None,0.3144154292197344,0.30550252365771746
80,1.7367995693133427,None,0.2981499963805129,0.28571487573310766
90,1.6761550343953646,None,0.33160848371850465,0.3359656746387195
100,1.645853589131282,None,0.34770625169924607,0.3514652543900504
110,1.6714262733092675,None,0.3397230264593708,0.3351839955446322
120,1.6564892246172978,None,0.354256840135351,0.36649582668492897
130,1.6462426524895888,None,0.3351742043099386,0.3317892749074531
140,1.649991743839704,None,0.3479070810545089,0.3305162546685109
150,1.654289669256944,None,0.3716914131062632,0.339650733225131
160,1.6399487898899958,None,0.36615557039330904,0.35401129486793476
170,1.602528608762301,None,0.3937593877114399,0.3934972559635444
180,1.6548073576046871,None,0.39572175808623633,0.358768370497666
190,1.5983949899673462,None,0.4085035600886135,0.40019736248429266
200,1.6080586827718295,None,0.39607851174939646,0.3690195334744108
210,1.6082298177939194,None,0.423249371930176,0.3923805715434197
